Date,Followers
2017-12-09-16-47-43,110
2017-12-09-20-00-05,110
2017-12-10-00-00-03,111
2017-12-10-04-00-04,111
2017-12-10-08-00-03,111
2017-12-10-12-00-04,111
2017-12-10-16-00-03,113
2017-12-10-19-05-45,114
2017-12-10-20-00-03,115
2017-12-10-22-00-04,116
2017-12-11-00-00-04,116
2017-12-11-02-00-04,116
2017-12-11-04-00-04,116
2017-12-11-06-00-03,116
2017-12-11-08-00-04,116
2017-12-11-10-00-05,116
2017-12-11-12-00-04,117
2017-12-11-14-00-04,117
2017-12-11-16-00-04,117
2017-12-11-18-00-04,118
2017-12-11-20-00-04,119
2017-12-11-22-00-04,119
2017-12-12-00-00-04,119
2017-12-12-02-00-04,118
2017-12-12-04-00-03,119
2017-12-12-06-00-04,120
2017-12-12-08-00-03,120
2017-12-12-10-00-03,120
2017-12-12-12-00-03,120
2017-12-12-14-00-03,121
2017-12-12-16-00-03,122
2017-12-12-18-00-04,122
2017-12-12-20-00-04,123
2017-12-12-22-00-05,123
2017-12-13-00-00-05,124
2017-12-13-02-00-03,127
2017-12-13-04-00-04,126
2017-12-13-06-00-05,124
2017-12-13-08-00-03,123
2017-12-13-10-00-03,123
2017-12-13-12-00-04,123
2017-12-13-14-00-04,123
2017-12-13-16-00-05,124
2017-12-13-18-00-05,125
2017-12-13-20-00-05,126
2017-12-13-22-00-04,126
2017-12-14-00-00-03,126
2017-12-14-02-00-03,126
2017-12-14-04-00-04,127
2017-12-14-06-00-05,127
2017-12-14-08-00-06,127
2017-12-14-10-00-04,126
2017-12-14-12-00-04,127
2017-12-14-14-00-03,130
2017-12-14-16-00-04,129
2017-12-14-18-00-05,129
2017-12-14-20-00-03,129
2017-12-14-22-00-04,130
2017-12-15-00-00-04,131
2017-12-15-02-00-04,131
2017-12-15-04-00-04,131
2017-12-15-06-00-05,131
2017-12-15-08-00-05,131
2017-12-15-10-00-04,133
2017-12-15-12-00-03,134
2017-12-15-14-00-04,135
2017-12-15-16-00-05,136
2017-12-15-18-00-04,137
2017-12-15-20-00-03,139
2017-12-15-22-00-03,140
2017-12-16-00-00-03,140
2017-12-16-02-00-05,140
2017-12-16-04-00-04,140
2017-12-16-06-00-04,140
2017-12-16-08-00-06,141
2017-12-16-10-00-04,141
2017-12-16-12-00-03,142
2017-12-16-14-00-04,143
2017-12-16-16-00-04,143
2017-12-16-18-00-03,144
2017-12-16-20-00-03,145
2017-12-16-22-00-03,145
2017-12-17-00-00-04,145
2017-12-17-02-00-04,145
2017-12-17-04-00-04,147
2017-12-17-06-00-04,147
2017-12-17-08-00-03,148
